,,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
,Familial Cholestasis: Other Specify,,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,Familial Nephropathy,,27,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0
,Fbp: Hirschsprung'S Disease,,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Microvillous Inclusion Disease,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Other Specify,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Pseudo-Obstruction-Myopathic,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Pseudo-Obstruction-Neuropathic,,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Unspecified,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fibrocavitary Lung Disease,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Focal Glomerular Sclerosis (Focal Segmental -. Fs,,"4,343",46,14,94,240,79,310,94,55,52,98,90,72,149,11,25,175,64,59,86,291,176,92,98,70,18,31,132,160,19,107,13,29,10,32,239,11,50,3,24,33,56,187,71,17,98,71,14,166,84,112,42,118,75,42,29
,Goodpasture'S Syndrome,,86,1,0,1,4,1,4,3,6,2,0,4,2,4,1,0,4,4,0,0,5,1,0,0,2,0,3,3,0,0,3,1,2,2,2,3,0,1,0,0,2,0,2,2,0,2,1,1,6,1,0,1,0,1,0,0
,Gout,,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
,Alcoholic Cirrhosis,,247,6,0,0,34,0,19,2,2,1,0,0,0,1,4,1,3,0,3,2,39,39,2,3,0,1,5,0,0,0,1,0,0,0,1,7,0,1,0,3,1,0,6,5,0,1,6,0,40,1,5,0,0,1,1,0
,Graft Failure,,101,0,1,12,3,0,5,0,4,1,6,1,2,1,1,0,3,4,0,1,0,9,3,0,1,0,4,0,1,3,1,0,0,0,0,1,0,3,0,0,1,4,3,3,0,1,4,0,6,0,3,0,3,2,0,0
,Graft Failure,,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Graft-Vs-Host Disease (Gvhd),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Granulomatous Lung Disease,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Heart Re-Tx/Gf: Acute Rejection,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Chronic Rejection,,16,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
,Heart Re-Tx/Gf: Coronary Artery Disease,,87,0,1,0,1,0,7,4,5,0,0,2,1,2,0,0,3,3,2,1,4,0,2,2,3,0,1,3,4,2,0,0,0,0,1,5,0,4,0,1,0,0,1,0,0,0,6,0,5,1,3,4,1,1,2,0
,Heart Re-Tx/Gf: Non-Specific,,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alcoholic Cirrhosis With Hepatitis C,,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Other Specify,,12,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0
,Heart Re-Tx/Gf: Primary Failure,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Heart Re-Tx/Gf: Restrictive/Constrictive,,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,Hemolytic Uremic Syndrome,,160,1,0,6,4,3,12,5,2,1,3,1,2,3,0,0,13,2,4,2,8,2,3,8,1,0,4,4,5,3,5,0,0,1,3,9,1,1,1,3,3,1,6,3,0,1,5,0,6,4,2,2,6,1,3,1
,Henoch-Schoenlein Purpura,,21,0,0,1,0,0,4,1,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1
,Hepatorenal Syndrome,,763,4,1,16,63,1,81,8,13,2,15,21,14,15,1,4,14,0,10,9,63,31,10,25,5,5,10,3,12,2,6,0,0,0,10,62,0,13,1,2,5,10,27,11,0,5,1,0,85,6,8,8,23,6,12,7
,Hermansky Pudlak Syndrome,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Heroin Nephrotoxicity,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,Alpha -. 1. -. Antitrypsin Deficiency,,19,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0
,Hiv Nephropathy,,257,2,3,2,8,2,5,2,1,1,16,3,4,11,0,1,12,0,1,14,11,15,4,2,4,1,1,4,9,0,9,0,0,1,2,48,0,0,0,2,2,1,19,4,0,5,3,0,11,2,6,0,6,2,2,2
,
,Hypersensitivity Pneumonitis,,54,1,0,1,4,0,5,0,0,1,0,1,0,0,0,0,2,0,0,1,2,3,2,3,0,0,0,0,1,0,1,0,0,0,0,6,0,2,0,0,2,0,1,0,0,0,0,0,0,1,4,0,4,5,0,1
,Hypertensive Nephrosclerosis,,"16,923",204,64,271,"1,303",199,750,156,144,262,370,353,270,752,42,83,763,308,194,423,825,682,452,189,235,146,171,241,440,34,411,57,96,27,130,"1,092",54,117,6,105,100,131,608,238,61,433,530,244,693,385,899,117,421,165,117,64
,Hypertrophic Cardiomyopathy,,144,0,0,3,3,0,5,3,2,1,2,4,1,1,0,4,9,2,3,2,12,1,3,5,0,1,0,7,3,4,1,0,0,0,1,11,0,11,0,4,0,1,4,4,0,6,1,0,3,1,2,5,6,1,2,0
,Hypoplasia/Dysplasia/Dysgensis/Agenesis,,534,2,2,15,41,15,55,5,5,0,3,5,18,8,1,4,14,11,5,5,22,13,11,25,7,1,16,10,10,3,21,1,2,5,2,36,0,5,0,6,1,6,23,2,0,1,8,1,10,14,13,4,22,8,7,9
,Idio/Post-Inf Crescentic Glomerulonephri,,91,0,0,3,3,4,3,0,3,2,0,2,2,1,0,0,4,2,2,1,9,7,3,1,1,0,2,0,1,0,2,0,0,0,0,6,0,2,0,0,0,0,4,0,0,2,4,0,3,0,8,1,1,0,2,1
,Iga Nephropathy,,"3,937",20,19,134,309,110,315,104,86,42,59,67,64,80,27,40,158,70,63,38,294,107,95,173,59,11,48,68,71,33,94,22,28,11,51,173,3,30,12,39,33,65,145,68,14,45,62,3,119,90,107,55,55,85,35,38
,Alport'S Syndrome,,556,9,0,12,28,21,54,6,12,4,7,13,9,6,2,1,21,11,7,13,34,15,17,18,12,2,6,18,12,2,18,4,2,1,5,28,0,9,1,6,2,4,22,7,4,6,11,2,21,9,13,5,13,16,4,4
,Iip: Boop/Cop,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iip: Idiopathic Pulmonary Fibrosis (Ipf),,243,1,0,4,15,0,15,2,2,1,3,8,3,0,0,4,10,3,6,0,3,9,33,6,1,0,0,0,1,0,1,0,0,0,0,22,0,19,0,2,1,0,27,2,0,1,5,0,8,2,6,0,5,6,0,6
,Iip: Nonspecific Interstitial Pneumonia,,43,0,0,0,0,0,2,0,0,0,0,4,1,1,0,0,1,0,0,0,1,2,2,2,2,0,0,0,1,1,0,0,0,0,0,9,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,4,0,2
,Incidental Carcinoma,,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Intestinal Disease Other Specify,,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Lithium Toxicity,,415,3,1,6,17,8,12,3,3,2,7,4,6,4,1,3,18,10,6,1,74,22,15,9,11,0,4,5,10,2,15,3,1,4,6,34,0,5,0,2,2,6,21,10,0,6,6,1,2,2,4,3,4,15,2,7
,Lung Re-Tx/Gf: Non-Specific,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lung Re-Tx/Gf: Obliterative Bronchiolitis-Obstruc,,26,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,6,0,2,0,0,2,1,0,0,0,0,1,0,2,0,0,2,0,0
,Lung Re-Tx/Gf: Obliterative Bronchiolitis-Restric,,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lung Re-Tx/Gf: Obstructive,,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
,Lung Re-Tx/Gf: Other Specify,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lung Re-Tx/Gf: Primary Graft Failure,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
,Lung Re-Tx/Gf: Restrictive,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lupus,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lymphangioleiomyomatosis,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,Lymphoma,,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
,Malignant Hypertension,,554,0,2,29,13,3,13,2,15,1,6,0,72,5,0,3,4,1,9,75,43,4,1,4,2,1,4,24,4,0,2,1,1,0,0,14,0,8,2,1,1,1,29,6,2,1,2,24,53,23,35,3,2,1,2,0
,Medullary Cystic Disease,,103,2,0,2,1,2,6,2,2,2,1,1,4,2,0,1,3,0,1,0,13,5,2,3,1,1,4,5,1,1,3,1,0,0,3,11,0,0,0,0,0,2,4,1,0,4,2,0,1,1,1,0,1,2,0,0
,Membranous Glomerulonephritis,,490,5,2,5,31,1,25,11,8,6,3,8,11,21,2,2,31,9,6,14,37,12,11,15,3,2,11,8,14,4,10,5,0,4,2,26,0,3,0,5,2,6,17,18,5,10,10,0,20,7,13,8,11,5,3,0
,Membranous Nephropathy,,453,4,1,13,32,17,38,15,11,3,12,7,8,13,0,4,18,7,8,8,25,17,23,10,7,1,4,4,14,2,4,0,0,4,4,24,0,2,0,3,4,7,9,6,2,12,10,3,6,8,13,2,13,3,5,2
,Mesangio-Capillary 1. Glomerulonephritis,,36,0,0,0,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,7,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,3,2,0,0,0,0,1
,Mesangio-Capillary 2. Glomerulonephritis,,15,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Metdis: Alpha-1-Antitrypsin Defic A-1-A,,25,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1,0,1,0,0,1,0,1,1,2,0,0,1
,Metdis: Glyc Stor Dis Type I. (Gsd-I),,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Amyloidosis,,193,2,1,7,15,7,21,5,4,1,2,4,3,1,1,0,5,1,2,1,18,8,4,7,2,0,4,3,3,1,6,8,2,0,1,9,0,1,0,1,1,2,6,3,0,2,6,0,6,2,3,3,2,6,0,3
,Metdis: Glyc Stor Dis Type Iv (Gsd-Iv),,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Metdis: Hemochromatosis -. Hemosiderosis,,24,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0
,"Metdis: Hyperlipidemia-Ii, Homozygous Hypercholes",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Metdis: Maple Syrup Urine Disease,,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0
,Metdis: Other Specify,,27,0,0,0,2,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,1,0,1,1,0,0,0,1,0,0
,"Metdis: Primary Oxalosis/Oxaluria, Hyperoxaluria",,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Metdis: Tyrosinemia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,"Metdis: Wilson'S Disease, Other Copper Metabolism",,12,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mixed Connective Tissue Disease,,31,3,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,3,0,0,0,0,0,2,0,3,1,1,3,0,0
,
,Muscular Dystrophy: Other Specify,,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,Acquired Obstructive Nephropathy,,557,1,1,8,54,30,32,8,18,7,4,2,19,6,6,2,16,6,3,5,39,11,19,31,14,1,9,9,10,5,8,4,1,2,11,29,4,3,0,4,1,17,38,4,0,4,8,0,3,11,14,7,6,6,3,3
,ACUTE ALCOHOLIC HEPATITIS,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Analgesic Nephropathy,,135,0,0,3,7,3,8,0,1,1,3,2,5,2,0,1,5,5,4,1,20,4,2,3,1,0,1,1,2,1,1,1,1,0,5,10,0,0,1,0,0,1,7,1,0,4,2,0,4,5,3,1,1,2,0,1
