,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
CACS-TX1 Cedars-Sinai Medical Center,,677,80,1,1,49,49,13,259,49,9,1,0,0,1,1,7,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,3,81,0,0,0,0,1,0,0,2,14,1,1,1,2,2,0,4,5,5,8,1,16,2,1
CAGH-TX1 Scripps Green Hospital,,57,17,0,0,2,2,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
CAIM-TX1 University of California Irvine Medical Center,,233,23,0,0,13,12,7,123,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,0,1,15,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,6,1,9,0,0
CALA-TX1 Harbor UCLA Medical Center,,52,2,0,0,1,4,0,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,,365,41,0,0,18,14,3,182,35,1,0,0,2,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,6,0,5,1,0
CAMB-TX1 UCSF Medical Center at Mission Bay,,28,9,0,0,1,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,67,5,0,0,2,20,5,10,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,1,1,0,0,2,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,,347,35,0,0,3,177,48,26,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,3,0,8,0,0
CASD-TX1 University of California San Diego Medical Center,,485,40,0,2,36,34,11,148,87,10,2,0,0,1,0,5,0,0,2,0,1,0,0,1,2,1,1,0,0,0,3,0,1,37,0,0,0,0,1,0,0,0,9,0,0,0,1,1,0,3,7,7,6,1,20,0,4
CASF-TX1 University of California San Francisco Medical Center,,710,162,0,0,6,247,77,54,16,7,0,1,1,1,2,3,0,3,3,0,0,0,0,1,2,1,0,2,1,0,0,1,3,41,0,0,0,0,0,0,1,2,37,1,0,0,1,0,1,2,3,5,3,0,18,0,1
CASG-TX1 Sutter Medical Center Sacramento,,13,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0
CASH-TX1 Sharp Memorial Hospital,,123,37,0,0,7,5,1,32,22,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,2,4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
CASJ-TX1 Saint Joseph Hospital,,85,13,0,0,0,4,0,44,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CASM-TX1 University of California Davis Medical Center,,329,76,0,0,1,131,50,6,2,4,0,0,0,0,0,1,0,1,0,2,0,1,1,2,2,0,0,4,0,0,0,0,0,15,0,1,1,0,0,0,1,1,15,0,2,0,0,1,0,1,0,0,0,0,7,0,0
CASU-TX1 Stanford Health Care,,471,52,1,0,6,143,50,68,9,4,1,0,1,1,0,3,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,1,34,0,0,0,0,0,0,0,1,35,0,0,0,1,0,1,5,4,5,11,0,25,1,2
CAUC-TX1 University of California at Los Angeles Medical Center,,708,88,4,0,44,68,4,277,57,7,0,1,1,1,1,3,1,4,2,1,0,0,1,1,1,0,0,3,1,0,3,3,2,67,1,1,0,0,0,1,0,2,13,1,1,0,0,1,1,4,0,7,12,2,14,0,1
CAUH-TX1 Keck Hospital of USC,,351,29,0,1,29,27,9,160,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,11,0,1,0,0
COCH-TX1 Children's Hospital Colorado,,42,12,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0
COPM-TX1 AdventHealth Porter,,149,45,0,0,0,0,0,0,0,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,,94,12,0,0,0,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,1,0,2,0,2,2,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,5,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,,515,80,1,1,6,4,2,4,0,290,0,0,0,1,1,0,2,0,3,0,0,0,0,2,4,1,1,11,0,0,6,0,19,0,0,0,0,0,0,1,1,6,4,0,0,0,1,2,0,7,0,14,20,0,20,0,0
CTHH-TX1 Hartford Hospital,,174,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,36,1,3,0,0,1,0,1,1,0,6,1,0,13,1,17,3,0,0,4,1,0,22,5,2,1,0,0,0,0,0,0,4,0,0,1
CTYN-TX1 Yale New Haven Hospital,,169,32,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,57,1,1,0,1,0,0,0,2,1,7,0,0,10,3,18,0,1,0,1,0,0,23,3,0,0,0,0,0,0,1,1,1,0,0,0
DCCH-TX1 Children's National Medical Center,,18,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,,582,80,3,1,3,0,0,3,0,18,9,1,0,0,10,0,1,12,12,8,5,5,64,19,4,7,2,1,7,22,5,17,0,10,3,1,34,5,9,6,0,6,0,63,46,0,5,9,3,17,2,4,1,34,4,0,1
DCGW-TX1 George Washington University Hospital,,76,11,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,1,0,0,18,1,0,2,0,1,1,3,0,5,0,0,0,0,0,0,1,1,1,0,0,9,6,0,0,2,0,0,0,0,0,6,0,0,0
DCWH-TX1 Washington Hospital Center,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,1,5,1,0,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,2,4,0,0,0,0,0,1,0,0,0
DCWR-TX1 Walter Reed National Military Medical Center at Bethesda,,30,11,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,2,0,0,0,0,0
DEAI-TX1 Nemours Children's Hospital Delaware,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
DECC-TX1 Christiana Care Health Services,,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,0,1,1,0,0,0,0,0,2,0,0,1,1,8,1,0,0,0,0,0,13,6,0,0,1,0,0,0,0,0,2,1,0,0
FLAC-TX1 Johns Hopkins All Children's Hospital,,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLCC-TX1 Cleveland Clinic Florida Weston,,272,25,0,0,0,0,0,0,0,0,22,93,19,77,7,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,10,2,2,0,2,2,0,1,0,0,0,0
FLFH-TX1 AdventHealth Orlando,,378,27,11,2,0,2,0,1,3,1,99,42,41,78,22,0,0,2,2,2,0,0,1,0,0,1,2,1,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,2,2,5,3,7,1,0,2,3,0,2,2,0,0
FLHM-TX1 Halifax Health,,9,1,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJD-TX1 Memorial Regional Hospital/Joe DiMaggio Children's Hospital,,7,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,,532,42,6,6,5,4,3,4,5,7,50,172,23,63,7,0,1,2,6,3,3,3,2,2,2,2,0,9,2,2,0,2,12,7,2,0,1,3,1,3,2,2,2,6,3,18,3,5,4,3,1,7,0,2,2,0,5
FLLM-TX1 Largo Medical Center,,141,20,5,0,0,1,1,1,0,1,21,14,7,44,6,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,0,3,0,2,0,0,0,0,0
FLMR-TX1 Memorial Regional Hospital,,212,42,2,0,1,0,1,1,2,0,19,47,9,33,10,0,0,0,1,0,14,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,4,2,3,0,0,0,3,3,0,0,0,0
FLSH-TX1 Ascension Sacred Heart Pensacola,,33,6,4,1,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FLSL-TX1 Mayo Clinic Hospital Florida,,544,74,9,0,0,1,1,1,0,2,49,23,98,68,40,0,1,7,4,8,5,2,2,4,4,1,9,3,2,5,1,3,1,2,3,0,7,0,0,0,1,3,0,9,4,1,27,16,1,5,5,18,1,4,6,1,2
FLTG-TX1 Tampa General Hospital,,895,135,13,4,10,0,1,2,1,5,84,89,98,266,17,0,2,4,2,3,29,0,1,3,1,30,6,5,5,2,0,2,4,0,0,0,1,0,1,6,3,1,1,1,3,12,6,5,1,10,4,6,2,4,1,1,2
FLUF-TX1 UF Health Shands Hospital,,418,12,8,0,1,0,0,0,0,1,47,27,99,79,43,0,0,1,1,0,6,3,4,3,0,0,9,3,9,4,0,4,0,0,0,0,1,0,3,1,0,4,0,2,1,13,6,12,0,2,2,4,0,2,0,0,1
GAEH-TX1 Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,,57,12,0,0,0,0,0,1,0,0,4,1,3,3,10,0,0,0,0,0,6,0,2,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0,0
GAEM-TX1 Emory University Hospital,,914,190,68,6,5,3,1,4,1,4,10,5,49,17,206,0,1,10,11,7,9,4,4,5,3,5,5,3,41,10,0,0,1,4,0,1,2,0,3,3,6,1,0,1,7,5,43,119,4,5,2,1,3,8,4,3,1
"GAMC-TX1 Wellstar MCG Health, affiliated with Medical College of Georgia",,60,1,4,0,0,0,0,0,0,0,0,0,5,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,4,0,0,0,0,0,1,0,0,0
GAPH-TX1 Piedmont Hospital,,645,80,39,7,0,0,1,0,0,0,6,6,30,13,164,1,1,12,15,11,17,2,4,2,2,12,10,6,21,8,1,1,1,0,0,0,2,0,2,2,0,2,0,3,4,0,39,98,0,6,3,2,1,6,1,1,0
HIQM-TX1 The Queen's Medical Center,,116,4,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
IAIM-TX1 Iowa Methodist Medical Center,,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,1,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,,131,28,0,2,1,0,0,2,1,0,0,1,0,0,0,0,13,12,7,0,0,0,0,0,10,7,2,12,0,1,5,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0,0,5,1,1,0,2,0,0,1,2,8
IAVA-TX1 The Iowa City VA Health Care System,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ILCH-TX1 Advocate Christ Medical Center,,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,3,0,0,0,6,1,5,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,4,5
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,,67,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,7,4,4,0,0,2,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,0,2,0,0,0,0,0,1,0,5,6
ILLU-TX1 Loyola University Medical Center,,353,58,3,1,0,1,0,0,0,0,3,1,1,1,1,0,6,95,40,7,2,0,2,21,5,12,0,5,0,1,2,0,3,0,0,0,2,0,2,4,4,0,1,1,2,1,0,2,1,4,2,5,0,1,2,26,22
ILMM-TX1 Springfield Memorial Hospital,,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ILNM-TX1 Northwestern Memorial Hospital,,691,99,5,4,4,3,0,3,0,6,3,1,3,5,10,1,11,168,55,19,3,5,1,58,18,20,1,10,3,1,8,2,4,1,1,1,1,1,12,16,4,1,2,3,9,0,0,9,6,6,4,16,0,2,3,20,39
ILPL-TX1 Rush University Medical Center,,185,21,1,1,0,0,1,0,0,0,0,0,2,0,0,0,7,71,20,0,0,0,0,11,2,5,0,1,1,0,0,0,0,1,0,0,0,1,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,4,1,13,12
ILSF-TX1 OSF Saint Francis Medical Center,,59,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,7,0,0,0,0,3,2,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
ILUC-TX1 University of Chicago Medical Center,,387,43,3,2,1,0,0,2,0,5,0,3,0,0,4,0,6,115,34,13,1,1,0,23,8,18,2,6,0,4,2,0,0,1,0,2,0,0,1,8,11,1,1,4,6,0,2,13,7,2,1,1,2,0,0,15,13
ILUI-TX1 University of Illinois Medical Center,,314,68,2,0,0,0,0,1,0,5,0,0,1,0,1,0,11,84,34,5,0,1,0,24,2,7,0,1,3,1,0,0,0,0,0,0,0,0,0,9,4,1,1,1,0,0,1,2,0,0,0,1,1,0,0,18,24
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,,108,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,33,22,7,0,2,0,10,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,8
INIM-TX1 Indiana University Health,,485,56,3,6,0,0,0,1,0,0,0,3,0,0,13,0,6,45,142,47,1,1,4,25,9,23,7,7,7,2,6,0,0,0,0,0,0,0,5,10,8,0,0,5,3,0,1,13,1,2,0,6,0,5,1,4,7
INSV-TX1 Ascension St. Vincent Hospital,,99,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,22,9,0,0,3,7,4,4,0,2,4,0,1,0,0,0,0,0,1,0,1,2,3,0,0,0,2,0,0,3,0,2,0,0,0,0,1,1,1
KSUK-TX1 University of Kansas Hospital,,278,40,1,5,0,1,0,0,1,14,0,0,0,0,2,0,8,3,4,2,3,0,0,0,10,17,0,122,0,1,14,0,0,0,0,1,0,0,0,3,0,11,0,0,2,1,0,1,1,1,1,4,0,0,1,1,2
KYJH-TX1 Jewish Hospital,,142,15,1,1,1,0,0,0,0,0,0,0,1,0,6,0,1,10,23,34,3,0,1,3,0,2,1,4,1,2,0,0,0,1,0,0,0,0,0,4,2,0,0,1,1,0,0,14,3,3,0,0,0,0,0,1,2
KYKC-TX1 Norton Children's Hospital,,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0
KYUK-TX1 University of Kentucky Medical Center,,234,38,1,3,1,0,1,0,1,1,2,0,3,0,6,0,2,3,27,51,1,0,0,3,1,2,2,3,5,8,0,0,0,1,0,0,1,0,3,9,8,1,2,2,6,0,3,22,0,0,1,1,1,6,0,1,1
LACH-TX1 Children's Hospital,,12,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAOF-TX1 Ochsner Foundation Hospital,,388,59,17,5,0,1,0,0,0,0,2,0,17,6,2,0,0,1,1,0,204,1,2,1,0,1,19,1,1,1,0,0,0,1,0,0,0,0,1,0,0,4,0,1,2,1,1,4,2,8,10,8,0,0,1,0,2
LATU-TX1 Tulane Medical Center,,202,25,14,3,0,1,0,2,0,0,2,0,15,1,4,0,0,1,2,1,85,0,0,0,1,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,1,1,9,1,0,2,1,1
LAWK-TX1 Willis-Knighton Medical Center,,92,6,0,12,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,3,7,2,11,0,0,0,1,0
