session_id,date,source_image,club,shot_number,flat_carry_yd,total_yd,ball_speed_mph,launch_deg,apex_ft,landing_deg,curve_ft,curve_dir,offline_ft,offline_dir,notes,exclude_flag
toptracer_2026_05,5/3/26,IMG_7643.jpeg,5H,2,173,181,134,16,59,32,18,R,52,R,big right,FALSE
toptracer_2026_05,5/3/26,IMG_7643.jpeg,5H,3,162,170,129,18,64,35,6,L,20,L,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7643.jpeg,5H,4,148,154,120,19,66,38,14,L,39,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7644.jpeg,7W,1,158,166,126,15,55,30,4,R,18,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7644.jpeg,7W,2,164,171,131,14,52,28,0,L,10,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7644.jpeg,7W,3,151,158,122,17,61,34,15,L,44,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7644.jpeg,7W,4,160,168,128,15,56,31,8,R,26,R,right miss,FALSE
toptracer_2026_05,5/3/26,IMG_7645.jpeg,5W,1,171,179,133,14,51,27,0,L,9,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7645.jpeg,5W,2,177,185,138,13,49,26,12,R,41,R,right miss,FALSE
toptracer_2026_05,5/3/26,IMG_7645.jpeg,5W,3,180,188,140,12,46,24,18,L,56,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7645.jpeg,5W,4,169,176,131,15,54,29,5,R,22,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7646.jpeg,3W,1,176,188,139,13,47,25,0,L,12,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7646.jpeg,3W,2,185,198,145,12,44,23,16,R,55,R,big right,FALSE
toptracer_2026_05,5/3/26,IMG_7646.jpeg,3W,3,168,180,133,15,52,28,10,L,34,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7646.jpeg,3W,4,182,194,142,13,46,24,4,R,20,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7647.jpeg,DR,1,192,211,138,12,43,22,24,R,88,R,big slice,FALSE
toptracer_2026_05,5/3/26,IMG_7647.jpeg,DR,2,205,224,144,11,39,20,0,L,18,R,solid bullet,FALSE
toptracer_2026_05,5/3/26,IMG_7647.jpeg,DR,3,187,205,136,13,45,23,18,L,72,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7647.jpeg,DR,4,199,219,141,12,41,21,10,R,36,R,playable,FALSE
toptracer_2026_05,5/3/26,IMG_7648.jpeg,LW,1,52,53,49,42,38,51,0,L,4,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7648.jpeg,LW,2,55,56,51,44,41,53,5,R,14,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7648.jpeg,LW,3,48,49,47,45,39,54,8,L,20,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7648.jpeg,LW,4,58,60,54,41,36,49,0,L,2,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7649.jpeg,SW,1,68,70,63,39,57,49,0,L,7,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7649.jpeg,SW,2,72,74,66,37,54,46,6,R,18,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7649.jpeg,SW,3,61,63,58,41,61,52,12,L,29,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7649.jpeg,SW,4,75,77,69,36,51,44,0,L,6,R,solid,FALSE
