,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
CAUC-TX1 University of California at Los Angeles Medical Center,,83,0,1,0,9,7,0,39,1,2,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,4,0,0,2,0,0
CAUH-TX1 Keck Hospital of USC,,21,0,0,0,2,3,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,,46,0,1,1,0,1,2,2,0,18,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,5,0,0,2,0,0
FLFH-TX1 AdventHealth Orlando,,31,0,0,2,0,0,0,0,2,0,3,2,1,3,4,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,,85,0,1,0,0,1,2,3,1,1,7,10,1,5,3,0,1,2,4,1,1,2,2,2,1,1,0,2,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,4,1,3,1,2,3,2,1,3,0,2,1,0,2
FLSL-TX1 Mayo Clinic Hospital Florida,,69,0,1,0,0,1,1,1,0,1,1,5,4,1,3,0,1,4,1,1,1,1,0,2,0,1,0,0,0,1,0,3,0,1,1,0,1,0,0,0,1,0,0,2,2,0,4,3,0,3,3,9,1,2,0,0,1
FLTG-TX1 Tampa General Hospital,,42,0,0,1,0,0,1,0,0,1,1,4,2,5,1,0,2,0,2,1,2,0,0,1,1,2,1,1,0,1,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0
FLUF-TX1 UF Health Shands Hospital,,65,0,2,0,0,0,0,0,0,1,5,0,6,2,6,0,0,1,1,0,2,2,3,3,0,0,1,3,1,0,0,2,0,0,0,0,0,0,3,1,0,3,0,2,0,3,0,2,0,2,2,4,0,1,0,0,1
GAEM-TX1 Emory University Hospital,,44,0,1,1,0,1,0,2,1,2,2,1,3,2,6,0,0,3,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,,19,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1
ILLU-TX1 Loyola University Medical Center,,34,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,5,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,4,2,4,0,1,0,1,1
ILNM-TX1 Northwestern Memorial Hospital,,129,0,3,2,2,0,0,0,0,2,2,1,3,4,10,0,1,17,5,4,1,3,0,8,6,5,0,3,0,1,1,2,0,0,1,0,0,0,6,3,0,1,1,1,6,0,0,2,2,4,2,11,0,1,1,0,1
ILUC-TX1 University of Chicago Medical Center,,24,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,1
INIM-TX1 Indiana University Health,,46,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,3,12,2,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,1,0,5,0,1,0,0,1
KYJH-TX1 Jewish Hospital,,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,2,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
KYUK-TX1 University of Kentucky Medical Center,,14,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
LAOF-TX1 Ochsner Foundation Hospital,,14,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
MACH-TX1 Boston Children's Hospital,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAMG-TX1 Massachusetts General Hospital,,84,0,0,0,3,0,1,4,1,2,3,2,4,0,5,0,0,4,0,0,1,9,3,2,0,1,0,2,2,2,1,1,0,2,0,1,1,0,0,1,0,1,3,4,1,0,4,3,0,1,2,3,0,1,2,1,0
MAPB-TX1 Brigham and Women's Hospital,,56,0,0,0,1,0,0,0,3,0,1,1,0,0,1,0,0,2,1,2,2,15,1,1,0,0,1,4,0,1,1,0,0,2,0,0,2,0,1,2,0,2,0,2,1,0,0,1,0,2,0,0,0,2,0,1,0
MDJH-TX1 Johns Hopkins Hospital,,32,0,0,2,0,0,0,0,0,0,0,1,1,1,2,0,0,3,2,0,2,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,2,2,1,0,0,0,0,0
MDUM-TX1 University of Maryland Medical System,,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0
MIHF-TX1 Henry Ford Hospital,,20,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1
MISH-TX1 Corewell Health Grand Rapids Hospitals,,62,0,0,1,0,0,0,5,1,2,1,0,2,0,1,0,0,3,3,1,2,3,2,4,1,0,2,2,0,2,0,0,0,0,0,1,1,0,3,0,0,1,2,2,3,0,0,2,1,0,1,2,1,3,0,0,1
MIUM-TX1 University of Michigan Medical Center,,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,4,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,1,0,0,0,1,0,1,0,0,0
MNMC-TX1 Mayo Clinic Hospital Minnesota,,60,0,0,0,1,1,2,2,0,4,1,1,1,1,2,0,1,1,3,1,3,0,1,4,2,1,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0,0,2,2,2,0,1,1,0,3,1,5,0,1,0,1,1
"MNUM-TX1 University of Minnesota Medical Center, Fairview",,59,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,4,3,0,0,3,0,0,14,1,0,0,0,1,3,0,0,2,1,1,1,0,0,1,0,1,0,2,0,0,0,1,1,0,0,2,1,2,3,0,3
MOBH-TX1 Barnes-Jewish Hospital,,67,0,1,0,2,0,0,5,0,3,1,0,1,1,4,0,0,1,3,1,3,2,0,0,3,9,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4,1,0,0,8,0,1,0,2,2
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NCDU-TX1 Duke University Hospital,,104,0,3,0,1,0,0,0,0,1,2,4,0,3,4,0,0,3,4,2,3,4,1,4,0,0,1,3,3,1,0,2,0,1,1,2,4,0,1,0,1,0,0,6,5,1,3,5,2,3,3,7,1,5,0,2,2
NCMH-TX1 University of North Carolina Hospitals,,12,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,1
NEUN-TX1 The Nebraska Medical Center,,11,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NJBI-TX1 Newark Beth Israel Medical Center,,19,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,101,0,2,1,1,1,0,2,2,1,2,3,0,0,9,0,1,4,2,1,6,3,3,4,4,1,1,0,0,0,1,2,0,0,1,1,10,1,2,1,0,1,1,11,2,3,1,1,0,0,0,4,0,1,2,0,1
NYMA-TX1 Montefiore Medical Center,,26,0,2,1,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,3,1,0,1,2,0,0,0,1,0,0,0,0,0
NYMS-TX1 Mount Sinai Medical Center,,24,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,2,0,1,0,1,1,0,1,0,0,1,0,3,0,1,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0
NYNS-TX1 North Shore University Hospital/Northwell Health,,27,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,3,0,0,0
NYUC-TX1 NYU Langone Health,,74,0,0,0,1,1,0,1,1,2,0,1,0,1,5,0,0,1,0,1,0,3,0,2,1,4,0,3,2,3,0,3,0,1,3,0,15,3,1,0,1,1,0,3,2,1,1,1,0,2,0,2,0,0,0,0,1
OHCC-TX1 The Cleveland Clinic Foundation,,143,0,1,0,2,0,0,0,0,1,1,1,3,2,2,0,2,9,8,1,2,2,2,4,6,2,0,2,2,4,2,3,1,2,2,0,4,0,15,4,2,4,1,6,3,2,3,9,0,6,1,3,2,4,1,0,4
OHCM-TX1 Children's Hospital Medical Center,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHOU-TX1 Ohio State University Medical Center,,75,0,2,4,1,0,0,0,0,0,3,0,1,0,3,0,1,1,2,1,3,1,3,4,2,2,1,1,2,1,1,1,0,0,0,0,1,0,2,5,3,2,0,4,1,0,1,3,0,4,0,5,0,0,0,0,3
OHUH-TX1 University Hospitals of Cleveland,,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0
OKBC-TX1 Integris Baptist Medical Center,,22,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
PACH-TX1 UPMC Children's Hospital of Pittsburgh,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACP-TX1 Children's Hospital of Philadelphia,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPT-TX1 University of Pittsburgh Medical Center,,59,0,0,0,0,0,0,0,0,2,0,3,3,1,3,0,1,3,2,2,3,4,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,7,6,2,0,1,0,0,0,2,0,2,0,1,1
PATJ-TX1 Thomas Jefferson University Hospital,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
PATU-TX1 Temple University Hospital,,178,0,0,1,1,0,0,2,1,1,3,12,3,8,4,0,0,8,8,3,7,8,8,2,4,4,2,9,5,1,1,4,0,6,0,0,0,1,2,0,1,2,4,15,4,1,6,1,2,4,1,10,1,5,1,0,1
PAUP-TX1 Hospital of the University of Pennsylvania,,55,0,0,0,0,0,0,0,0,1,1,2,0,2,3,0,0,2,2,2,0,3,2,1,1,3,0,0,2,0,0,2,0,0,1,0,1,0,1,0,0,0,0,14,2,0,0,2,0,1,1,2,0,1,0,0,0
SCMU-TX1 Medical University of South Carolina,,21,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,,149,0,2,1,2,1,2,2,1,4,0,1,0,4,6,0,3,9,3,4,7,5,4,5,0,8,1,4,0,6,0,0,3,2,1,1,4,3,0,0,0,3,1,4,3,0,2,12,2,4,3,6,2,3,4,0,1
"TXBC-TX1 University Hospital, University of Texas Health Science Center",,25,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,0,0,0,1,0,3,1,3,0,0,0,1,0
"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",,14,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,102,0,2,0,1,4,1,4,1,6,1,2,3,0,3,0,1,4,6,2,5,1,2,0,0,0,4,1,0,2,1,1,0,3,1,0,1,0,0,0,0,2,1,3,0,0,1,0,1,17,2,8,2,0,2,0,0
TXHS-TX1 Methodist Specialty and Transplant Hospital,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
TXMH-TX1 Houston Methodist Hospital,,83,0,1,2,1,2,0,3,0,2,1,3,3,3,1,0,0,2,2,0,5,2,0,2,0,1,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,3,0,9,7,12,1,2,2,1,0
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,,69,0,1,0,1,1,1,2,0,2,2,1,1,1,2,0,0,3,1,2,1,2,1,0,0,0,0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,3,0,8,2,12,0,0,3,1,1
TXTC-TX1 Texas Children's Hospital,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
TXTX-TX1 Baylor University Medical Center,,41,0,1,0,1,1,1,4,1,1,1,1,0,0,1,0,0,0,0,1,2,0,0,2,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,2,1,7,0,0,1,0,1
UTMC-TX1 University of Utah Medical Center,,50,0,0,0,2,3,0,6,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,0,1,3,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,2,1,4,5,0,3,0,1
VAFH-TX1 Inova Fairfax Hospital,,59,0,3,0,0,0,0,0,0,0,2,3,1,1,3,0,3,3,1,1,0,2,4,2,1,0,2,1,1,2,1,2,0,0,2,0,2,1,1,1,0,0,0,2,2,0,1,3,0,0,0,1,0,3,0,1,0
"VAMC-TX1 VCU Health System Authority, VCUMC",,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VAUV-TX1 University of Virginia Health Sciences Center,,43,0,1,1,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,0,2,0,2,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7,2,0,0,0,0,2,1,5,0,5,0,0,0
WAUW-TX1 University of Washington Medical Center,,64,0,0,0,0,3,3,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,29,0,0
WISE-TX1 Froedtert Memorial Lutheran Hospital,,22,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,3,0,2,0,3,0,1,0,0,0
WIUW-TX1 University of Wisconsin Hospital and Clinics,,66,0,1,1,1,1,0,0,3,2,1,2,0,1,6,0,1,2,5,0,2,1,0,2,3,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,2,2,0,0,0,0,2,0,1,0,2,1,2,10
