,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
AZUA-TX1 Banner University Medical Center-Tucson,,54,7,0,0,29,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,,11,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACL-TX1 Children's Hospital Los Angeles,,20,3,0,0,1,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,,323,80,1,0,6,10,3,130,23,6,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,39,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,0,3,1,4,0,1
CAGH-TX1 Scripps Green Hospital,,44,17,0,0,1,1,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
CAIM-TX1 University of California Irvine Medical Center,,229,23,0,0,13,12,7,119,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,0,1,15,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,6,1,9,0,0
CALA-TX1 Harbor UCLA Medical Center,,52,2,0,0,1,4,0,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,,230,41,0,0,8,3,1,106,30,1,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,2,1,0
CAMB-TX1 UCSF Medical Center at Mission Bay,,13,4,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,26,4,0,0,0,14,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,,209,35,0,0,3,101,35,8,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,0,4,0,0
CASD-TX1 University of California San Diego Medical Center,,182,40,0,0,6,8,1,63,28,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1,5,0,1
CASF-TX1 University of California San Francisco Medical Center,,365,133,0,0,0,144,37,9,3,0,0,0,0,1,2,3,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,8,1,0,0,1,0,0,1,1,0,0,0,3,0,0
CASH-TX1 Sharp Memorial Hospital,,111,37,0,0,5,1,0,31,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,2,4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
CASJ-TX1 Saint Joseph Hospital,,82,13,0,0,0,4,0,41,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CASM-TX1 University of California Davis Medical Center,,270,75,0,0,1,102,39,3,0,4,0,0,0,0,0,1,0,1,0,2,0,1,1,2,2,0,0,4,0,0,0,0,0,9,0,1,1,0,0,0,1,1,10,0,2,0,0,1,0,1,0,0,0,0,5,0,0
CASU-TX1 Stanford Health Care,,161,51,1,0,0,52,24,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,1,1,2,0,4,0,0
CAUC-TX1 University of California at Los Angeles Medical Center,,387,88,3,0,3,24,1,144,28,2,0,0,1,0,1,2,0,4,2,1,0,0,0,1,1,0,0,2,1,0,1,2,0,36,1,1,0,0,0,0,0,1,11,1,1,0,0,1,1,2,0,3,5,2,8,0,1
CAUH-TX1 Keck Hospital of USC,,177,21,0,1,6,6,1,89,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,1,0,0
COCH-TX1 Children's Hospital Colorado,,11,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPM-TX1 AdventHealth Porter,,120,45,0,0,0,0,0,0,0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,,56,12,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,,238,69,0,0,1,1,0,0,0,152,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0
CTHH-TX1 Hartford Hospital,,103,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23,1,0,0,0,0,0,0,0,0,1,1,0,9,1,10,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
CTYN-TX1 Yale New Haven Hospital,,114,32,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,34,0,0,0,1,0,0,0,0,1,3,0,0,7,3,15,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,0,0
DCCH-TX1 Children's National Medical Center,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,,369,54,0,1,2,0,0,3,0,18,9,1,0,0,2,0,1,7,5,3,2,3,35,12,3,2,2,1,5,13,3,8,0,7,1,0,27,4,7,3,0,5,0,42,30,0,0,2,1,15,2,0,1,23,3,0,1
DCGW-TX1 George Washington University Hospital,,52,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,2,0,1,0,2,0,5,0,0,0,0,0,0,1,1,1,0,0,6,5,0,0,1,0,0,0,0,0,3,0,0,0
DCWH-TX1 Washington Hospital Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCWR-TX1 Walter Reed National Military Medical Center at Bethesda,,30,11,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,2,0,0,0,0,0
DEAI-TX1 Nemours Children's Hospital Delaware,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DECC-TX1 Christiana Care Health Services,,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,0,1,1,0,0,0,0,0,2,0,0,1,1,8,1,0,0,0,0,0,13,6,0,0,1,0,0,0,0,0,2,1,0,0
FLCC-TX1 Cleveland Clinic Florida Weston,,145,21,0,0,0,0,0,0,0,0,14,49,3,48,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0
FLFH-TX1 AdventHealth Orlando,,161,27,0,0,0,1,0,1,0,0,48,17,20,32,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0
FLHM-TX1 Halifax Health,,9,1,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,,285,42,2,3,2,3,1,1,4,6,23,95,4,31,0,0,0,0,2,2,2,1,0,0,1,1,0,7,1,1,0,1,12,6,1,0,1,3,0,2,2,2,2,1,2,5,1,0,1,1,0,3,0,0,1,0,3
FLLM-TX1 Largo Medical Center,,64,20,0,0,0,1,1,1,0,1,11,3,3,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FLMR-TX1 Memorial Regional Hospital,,181,42,1,0,1,0,1,1,2,0,17,35,6,26,8,0,0,0,1,0,14,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,2,3,0,0,0,3,3,0,0,0,0
FLSH-TX1 Ascension Sacred Heart Pensacola,,33,6,4,1,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FLSL-TX1 Mayo Clinic Hospital Florida,,220,74,2,0,0,0,0,0,0,0,19,8,39,44,9,0,0,2,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,8,0,0,1,0,1,0,2,2,0,0
FLTG-TX1 Tampa General Hospital,,519,123,5,3,4,0,0,0,1,2,62,47,62,159,4,0,0,3,0,1,0,0,1,2,0,9,0,1,1,0,0,0,2,0,0,0,0,0,0,1,3,1,1,0,1,3,2,2,1,5,2,0,2,2,1,0,0
FLUF-TX1 UF Health Shands Hospital,,158,12,1,0,1,0,0,0,0,0,20,9,49,41,13,0,0,0,0,0,2,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
GAEH-TX1 Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,,25,11,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
GAEM-TX1 Emory University Hospital,,591,189,40,1,4,2,1,2,0,2,1,1,30,5,129,0,0,2,1,0,1,3,1,3,2,2,1,1,27,2,0,0,1,1,0,0,2,0,1,1,2,0,0,0,2,3,28,88,0,1,0,0,1,2,2,3,0
"GAMC-TX1 Wellstar MCG Health, affiliated with Medical College of Georgia",,58,1,3,0,0,0,0,0,0,0,0,0,5,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,4,0,0,0,0,0,1,0,0,0
GAPH-TX1 Piedmont Hospital,,335,80,25,0,0,0,1,0,0,0,0,2,17,4,73,1,0,3,5,2,6,1,2,1,1,1,4,2,15,3,1,0,1,0,0,0,1,0,1,0,0,1,0,2,1,0,24,45,0,3,2,0,1,1,1,1,0
HIQM-TX1 The Queen's Medical Center,,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IAIM-TX1 Iowa Methodist Medical Center,,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,1,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,,79,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,0,0,0,0,0,8,4,1,8,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3
IAVA-TX1 The Iowa City VA Health Care System,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ILCH-TX1 Advocate Christ Medical Center,,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,3,2,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
ILLU-TX1 Loyola University Medical Center,,217,58,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,48,23,5,2,0,0,14,4,8,0,4,0,0,1,0,2,0,0,0,1,0,0,3,3,0,1,0,0,1,0,1,0,0,0,0,0,0,2,14,15
ILMM-TX1 Springfield Memorial Hospital,,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ILNM-TX1 Northwestern Memorial Hospital,,333,76,1,1,2,2,0,1,0,2,1,0,0,0,0,1,7,82,26,8,2,2,0,27,6,11,1,2,2,0,6,0,2,1,0,1,1,0,2,10,3,0,1,1,0,0,0,1,0,2,2,2,0,1,1,12,21
ILPL-TX1 Rush University Medical Center,,120,21,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,40,11,0,0,0,0,6,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,10,8
ILSF-TX1 OSF Saint Francis Medical Center,,52,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,0,0,0,0,3,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
ILUC-TX1 University of Chicago Medical Center,,197,32,0,0,1,0,0,2,0,2,0,0,0,0,1,0,6,63,17,7,0,0,0,12,2,8,1,1,0,0,0,0,0,0,0,1,0,0,1,2,8,1,1,1,1,0,1,4,2,1,0,0,1,0,0,9,8
ILUI-TX1 University of Illinois Medical Center,,239,62,0,0,0,0,0,1,0,1,0,0,0,0,1,0,8,60,26,4,0,0,0,16,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,6,3,1,1,0,0,0,1,0,0,0,0,1,1,0,0,14,24
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,,108,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,33,22,7,0,2,0,10,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,8
INIM-TX1 Indiana University Health,,189,45,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,19,54,17,0,1,0,10,0,9,2,0,0,0,2,0,0,0,0,0,0,0,3,3,5,0,0,1,1,0,0,5,0,0,0,1,0,2,0,1,4
INSV-TX1 Ascension St. Vincent Hospital,,69,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,8,0,0,1,3,1,3,0,0,1,0,1,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
KSUK-TX1 University of Kansas Hospital,,169,38,0,4,0,1,0,0,1,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,1,14,0,77,0,0,8,0,0,0,0,1,0,0,0,2,0,8,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
KYJH-TX1 Jewish Hospital,,89,15,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,5,20,22,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,13,1,0,0,0,0,0,0,0,0
KYKC-TX1 Norton Children's Hospital,,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
KYUK-TX1 University of Kentucky Medical Center,,119,38,0,0,1,0,0,0,1,1,1,0,0,0,3,0,0,0,12,27,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,3,6,0,0,0,2,0,2,10,0,0,0,0,0,3,0,0,1
LACH-TX1 Children's Hospital,,12,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAOF-TX1 Ochsner Foundation Hospital,,197,50,8,0,0,1,0,0,0,0,0,0,11,0,0,0,0,1,1,0,93,1,2,1,0,1,11,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,1,2,1,0,0,1,0,2
LATU-TX1 Tulane Medical Center,,150,25,8,1,0,1,0,2,0,0,0,0,13,0,2,0,0,1,2,1,65,0,0,0,1,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,1,1
LAWK-TX1 Willis-Knighton Medical Center,,71,6,0,11,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,2,7,2,8,0,0,0,1,0
MABI-TX1 Beth Israel Deaconess Medical Center,,80,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,1,10,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,1,1,0,0,0
MABS-TX1 Baystate Medical Center,,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
MABU-TX1 Boston Medical Center,,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MACH-TX1 Boston Children's Hospital,,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
