,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
CACS-TX1 Cedars-Sinai Medical Center,,114,0,0,0,17,15,5,39,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,9,0,0
CALL-TX1 Loma Linda University Medical Center,,22,0,0,0,1,5,1,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,14,0,0,0,0,2,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,,29,0,0,0,0,3,4,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
CASD-TX1 University of California San Diego Medical Center,,74,0,0,0,12,11,3,12,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,6,0,0
CASF-TX1 University of California San Francisco Medical Center,,58,0,0,0,3,13,3,7,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0
CASG-TX1 Sutter Medical Center Sacramento,,13,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0
CASH-TX1 Sharp Memorial Hospital,,11,0,0,0,2,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASU-TX1 Stanford Health Care,,71,0,0,0,2,14,4,14,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,1,3,0,10,0,0
CAUC-TX1 University of California at Los Angeles Medical Center,,87,0,0,0,12,15,1,26,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0
CAUH-TX1 Keck Hospital of USC,,19,0,0,0,1,8,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COCH-TX1 Children's Hospital Colorado,,16,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,,77,0,0,0,3,1,0,2,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,12,0,7,0,0
CTHH-TX1 Hartford Hospital,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,0,2,0,0,1,0,1,1,0,2,0,0,2,0,3,3,0,0,2,1,0,7,2,2,0,0,0,0,0,0,0,2,0,0,1
CTYN-TX1 Yale New Haven Hospital,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0
DCCH-TX1 Children's National Medical Center,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DCWH-TX1 Washington Hospital Center,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,1,4,1,0,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,2,4,0,0,0,0,0,1,0,0,0
DEAI-TX1 Nemours Children's Hospital Delaware,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLAC-TX1 Johns Hopkins All Children's Hospital,,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLCC-TX1 Cleveland Clinic Florida Weston,,34,0,0,0,0,0,0,0,0,0,2,9,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,1,0,0,0,0,0,0,0
FLFH-TX1 AdventHealth Orlando,,56,0,7,0,0,1,0,0,1,0,4,11,2,8,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,2,1,0,1,0,0,0
FLJD-TX1 Memorial Regional Hospital/Joe DiMaggio Children's Hospital,,7,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,,15,0,0,0,0,0,0,0,0,0,2,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FLLM-TX1 Largo Medical Center,,22,0,1,0,0,0,0,0,0,0,1,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,1,0,0,0,0,0
FLMR-TX1 Memorial Regional Hospital,,29,0,1,0,0,0,0,0,0,0,2,11,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FLSL-TX1 Mayo Clinic Hospital Florida,,84,0,3,0,0,0,0,0,0,0,7,6,13,8,9,0,0,1,1,4,3,0,1,0,0,0,4,1,0,1,1,0,1,0,0,0,1,0,0,0,0,2,0,3,2,0,1,6,0,0,0,3,0,0,0,1,1
FLTG-TX1 Tampa General Hospital,,42,0,3,0,0,0,0,0,0,1,0,10,2,11,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1
FLUF-TX1 UF Health Shands Hospital,,37,0,1,0,0,0,0,0,0,0,4,5,3,4,6,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0
GAEH-TX1 Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,,10,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GAEM-TX1 Emory University Hospital,,74,0,4,2,1,0,0,0,0,0,4,0,4,3,8,0,0,5,5,3,3,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,1,3,2,2,1,1,1,3,1,0,0
GAPH-TX1 Piedmont Hospital,,103,0,3,2,0,0,0,0,0,0,2,2,5,3,11,0,1,8,7,2,5,1,2,1,1,10,3,3,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,3,0,3,7,0,3,1,2,0,5,0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ILCH-TX1 Advocate Christ Medical Center,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,1,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1
ILLU-TX1 Loyola University Medical Center,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ILNM-TX1 Northwestern Memorial Hospital,,28,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,10,1,2,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1
ILSF-TX1 OSF Saint Francis Medical Center,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ILUC-TX1 University of Chicago Medical Center,,59,0,2,2,0,0,0,0,0,2,0,1,0,0,1,0,0,8,5,2,0,0,0,4,5,2,0,2,0,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,6,2,0,0,1,0,0,0,3,1
INIM-TX1 Indiana University Health,,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,1,0,0,1,3,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INSV-TX1 Ascension St. Vincent Hospital,,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,1,0,0,2,4,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1
KSUK-TX1 University of Kansas Hospital,,45,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,1,3,2,1,3,0,0,0,4,0,0,14,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0
KYJH-TX1 Jewish Hospital,,16,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
KYKC-TX1 Norton Children's Hospital,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
KYUK-TX1 University of Kentucky Medical Center,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,0,2,0,0,0,0,0,0,1,0,0,2,0,1,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0
LAOF-TX1 Ochsner Foundation Hospital,,24,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,5,2,0,0,0,0,0
LATU-TX1 Tulane Medical Center,,11,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MABI-TX1 Beth Israel Deaconess Medical Center,,32,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,9,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,1,0,1,0,0,0,2,0,0,0
MACH-TX1 Boston Children's Hospital,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
MAMG-TX1 Massachusetts General Hospital,,57,3,0,0,0,2,1,0,1,2,1,1,0,0,0,0,0,0,0,1,0,12,1,1,0,0,0,0,0,4,0,3,0,0,3,1,2,0,5,0,0,0,0,4,2,0,1,0,1,2,0,1,0,1,1,0,0
MANM-TX1 Tufts Medical Center,,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,0,1,1,0,0,0,0,3,0,1,4,2,8,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,4,2,0,1
MAPB-TX1 Brigham and Women's Hospital,,40,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,10,5,1,3,0,0,1,0,0,1,1,0,0,0,1,1,0,3,0,0,0,0,4,1,0,0,1,0,0,0,0,0,1,1,0,1
MDJH-TX1 Johns Hopkins Hospital,,76,0,1,0,1,0,0,0,0,1,1,0,0,0,4,0,0,1,4,3,1,5,2,6,2,1,0,0,0,2,1,3,1,0,1,1,7,1,1,2,0,3,0,5,6,1,0,2,0,2,2,0,0,1,1,0,0
MDUM-TX1 University of Maryland Medical System,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0
MICH-TX1 Children's Hospital of Michigan,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIHF-TX1 Henry Ford Hospital,,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
MISH-TX1 Corewell Health Grand Rapids Hospitals,,42,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,1,3,4,1,0,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,2,4,0,0,1,0,0,0,0,0,0,0,0,2
MIUM-TX1 University of Michigan Medical Center,,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,2,0,0,2,0,1,2,0,0,5,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,2,0,1,0,0,0,1,0,1,4
MNAN-TX1 Abbott Northwestern Hospital,,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,2,1,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MNCM-TX1 Children's Minnesota,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMC-TX1 Mayo Clinic Hospital Minnesota,,56,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,6,2,0,0,1,0,1,14,1,0,2,0,0,4,0,1,1,1,0,0,0,0,1,2,1,0,2,0,0,0,0,0,1,1,1,1,0,3,3,2
"MNUM-TX1 University of Minnesota Medical Center, Fairview",,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,3,0,0,0,0,1,10,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
MOBH-TX1 Barnes-Jewish Hospital,,57,0,1,5,0,0,0,0,0,1,0,0,0,0,3,0,2,4,3,2,2,0,0,0,4,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,1,2,0,2,0,0,0,0,3
MOCG-TX1 Cardinal Glennon Children's Hospital,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0
MOCM-TX1 Children's Mercy Hospital,,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MOLH-TX1 St Luke's Hospital of Kansas City,,32,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,5,2,1,0,0,0,1,5,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1
MSUM-TX1 University of Mississippi Medical Center,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
NCBG-TX1 Wake Forest Baptist Medical Center,,29,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,3,2,3,0,1,0,1,0,0,0,1,0,3,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
NCCM-TX1 Carolinas Medical Center,,77,0,3,0,0,0,0,0,0,0,5,0,1,8,0,0,0,2,2,1,3,1,3,1,0,3,3,0,3,2,0,2,0,0,0,0,4,0,2,3,1,0,0,8,7,1,2,0,0,0,2,1,0,3,0,0,0
NCDU-TX1 Duke University Hospital,,136,0,1,3,0,0,0,0,0,3,1,1,1,2,9,0,1,1,11,3,4,4,5,4,2,4,1,3,9,15,1,2,1,1,1,0,1,1,3,0,1,1,0,12,6,0,4,2,0,2,1,4,0,2,0,1,1
NCMH-TX1 University of North Carolina Hospitals,,17,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0
NECH-TX1 Children’s Nebraska,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NEUN-TX1 The Nebraska Medical Center,,40,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,3,1,0,6,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1
