,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,,96,0,0,0,0,64,9,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,,175,0,0,1,13,13,5,68,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,2,0,0,8,0,0
CASF-TX1 University of California San Francisco Medical Center,,183,29,0,0,0,67,25,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CASM-TX1 University of California Davis Medical Center,,59,1,0,0,0,29,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CASU-TX1 Stanford Health Care,,156,1,0,0,2,58,18,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,0,7,0,0
CAUC-TX1 University of California at Los Angeles Medical Center,,144,0,0,0,20,22,2,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CAUH-TX1 Keck Hospital of USC,,133,8,0,0,20,10,4,58,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
COCH-TX1 Children's Hospital Colorado,,15,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
COPM-TX1 AdventHealth Porter,,29,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,,38,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,2,0,2,2,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,5,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,,148,11,0,0,2,1,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,5,0,11,0,0
CTHH-TX1 Hartford Hospital,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,3,0,0,2,0,4,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,2,0,0,0
CTYN-TX1 Yale New Haven Hospital,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,,151,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,7,3,1,2,27,2,0,2,0,0,2,5,2,8,0,0,2,1,3,1,1,1,0,0,0,19,10,0,4,4,1,1,0,1,0,9,0,0,0
DCGW-TX1 George Washington University Hospital,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,3,0,0,0
DEAI-TX1 Nemours Children's Hospital Delaware,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FLCC-TX1 Cleveland Clinic Florida Weston,,93,4,0,0,0,0,0,0,0,0,6,35,11,23,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,0,1,0,0,0,0,0,0
FLFH-TX1 AdventHealth Orlando,,116,0,4,0,0,0,0,0,0,1,39,9,16,32,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,,110,0,2,1,1,0,0,0,0,0,17,50,12,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0
FLLM-TX1 Largo Medical Center,,55,0,4,0,0,0,0,0,0,0,9,6,4,19,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0
FLSL-TX1 Mayo Clinic Hospital Florida,,160,0,3,0,0,0,0,0,0,1,20,2,39,14,17,0,0,0,2,3,1,1,1,2,3,0,4,1,0,2,0,0,0,1,2,0,4,0,0,0,0,0,0,3,0,1,13,7,1,1,2,5,0,0,4,0,0
FLTG-TX1 Tampa General Hospital,,284,12,5,0,6,0,0,2,0,1,17,26,31,90,9,0,0,1,0,1,26,0,0,0,0,19,5,1,4,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,7,3,2,0,5,1,3,0,1,0,0,1
FLUF-TX1 UF Health Shands Hospital,,146,0,4,0,0,0,0,0,0,0,15,13,36,30,17,0,0,0,0,0,1,0,1,0,0,0,3,0,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9,3,4,0,0,0,0,0,0,0,0,0
GAEH-TX1 Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,,22,1,0,0,0,0,0,1,0,0,2,1,1,2,3,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
GAEM-TX1 Emory University Hospital,,192,1,23,1,0,0,0,0,0,0,3,3,11,7,57,0,1,0,4,4,4,0,1,1,0,1,3,1,11,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,13,26,1,1,0,0,0,2,0,0,1
GAPH-TX1 Piedmont Hospital,,199,0,10,5,0,0,0,0,0,0,4,2,7,6,74,0,0,1,3,7,6,0,0,0,0,1,3,1,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,46,0,0,0,0,0,0,0,0,0
HIQM-TX1 The Queen's Medical Center,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1
ILLU-TX1 Loyola University Medical Center,,85,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,17,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,5
ILNM-TX1 Northwestern Memorial Hospital,,178,23,1,1,0,1,0,2,0,0,0,0,0,0,0,0,2,56,19,5,0,0,1,18,4,2,0,3,1,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,0,4,2,0,0,0,0,0,1,8,15
ILPL-TX1 Rush University Medical Center,,62,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,31,8,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
ILUC-TX1 University of Chicago Medical Center,,88,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,35,7,3,1,1,0,3,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,1,2,0,0,2,3,0,0,0,0,0,0,2,2
ILUI-TX1 University of Illinois Medical Center,,48,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,6,1,0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0
INIM-TX1 Indiana University Health,,193,9,2,4,0,0,0,0,0,0,0,1,0,0,2,0,4,18,63,25,1,0,3,8,6,8,5,2,6,2,0,0,0,0,0,0,0,0,2,6,2,0,0,2,0,0,1,3,1,1,0,0,0,2,0,2,2
KSUK-TX1 University of Kansas Hospital,,60,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,3,0,28,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
KYJH-TX1 Jewish Hospital,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
KYUK-TX1 University of Kentucky Medical Center,,80,0,1,1,0,0,0,0,0,0,0,0,2,0,3,0,2,1,15,23,1,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,4,2,0,0,0,3,0,1,11,0,0,0,0,0,1,0,1,0
LAOF-TX1 Ochsner Foundation Hospital,,142,9,4,2,0,0,0,0,0,0,1,0,5,6,1,0,0,0,0,0,95,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,5,3,1,0,0,0,0,0
LATU-TX1 Tulane Medical Center,,35,0,5,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0
LAWK-TX1 Willis-Knighton Medical Center,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MABI-TX1 Beth Israel Deaconess Medical Center,,121,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,45,4,1,0,0,0,0,1,0,0,5,0,0,9,1,24,2,2,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
MACH-TX1 Boston Children's Hospital,,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MALC-TX1 Lahey Clinic Medical Center,,107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,4,0,0,0,1,0,0,0,4,0,0,8,1,12,1,2,0,0,0,0,8,2,3,0,0,0,0,0,0,0,3,2,0,0
MAMG-TX1 Massachusetts General Hospital,,210,10,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,112,1,0,0,1,0,11,0,1,0,5,0,0,16,0,18,2,3,0,0,0,0,13,8,2,0,0,0,2,0,0,0,2,0,0,0
MANM-TX1 Tufts Medical Center,,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0
MAUM-TX1 UMass Memorial Medical Center,,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,3,0,0,3,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDJH-TX1 Johns Hopkins Hospital,,127,20,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,2,1,3,31,4,0,0,0,0,0,2,0,9,0,0,0,0,5,0,2,0,2,0,0,22,6,0,1,3,0,0,0,0,0,8,0,0,0
MDUM-TX1 University of Maryland Medical System,,84,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,4,0,3,31,5,0,0,0,0,2,7,0,1,0,0,0,0,3,0,2,0,0,0,0,9,2,0,1,3,0,0,0,0,0,3,0,0,0
MIBH-TX1 Corewell Health William Beaumont University Hospital,,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,1,1,14,4,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,1,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0
MICH-TX1 Children's Hospital of Michigan,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MIHF-TX1 Henry Ford Hospital,,175,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,7,0,0,2,0,99,3,0,0,0,0,2,0,0,0,0,0,3,1,0,15,3,8,0,0,3,8,0,1,1,0,0,0,0,0,0,0,2,2
MIUM-TX1 University of Michigan Medical Center,,140,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,5,0,1,2,31,6,2,0,2,2,3,1,2,1,0,0,0,2,1,14,4,5,1,0,5,7,0,2,7,0,0,0,0,0,1,0,2,3
MNMC-TX1 Mayo Clinic Hospital Minnesota,,163,17,0,0,0,1,1,0,0,0,0,0,0,1,1,0,11,6,3,4,0,0,0,2,71,2,0,10,0,0,3,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,21
"MNUM-TX1 University of Minnesota Medical Center, Fairview",,134,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,10,8,0,0,0,0,6,66,6,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,8
MOBH-TX1 Barnes-Jewish Hospital,,148,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,7,3,0,3,0,0,2,3,83,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,2,0,3,0,0,0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,23,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,1,2,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
MOCM-TX1 Children's Mercy Hospital,,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MOLH-TX1 St Luke's Hospital of Kansas City,,24,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MOSL-TX1 SSM Health Saint Louis University Hospital,,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,3,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1
MSUM-TX1 University of Mississippi Medical Center,,37,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,11,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NCCM-TX1 Carolinas Medical Center,,135,0,1,0,0,0,0,0,0,0,1,1,0,4,6,0,0,1,4,6,0,0,0,0,0,2,0,0,59,23,0,1,0,0,0,0,1,1,4,0,1,0,0,0,0,0,10,5,0,0,0,0,0,4,0,0,0
NCDU-TX1 Duke University Hospital,,200,4,3,0,0,0,0,0,0,0,3,1,3,2,3,0,1,0,2,8,2,4,2,1,3,0,0,1,15,58,0,2,0,0,1,0,10,0,0,0,2,0,1,7,7,0,17,10,0,2,0,1,0,24,0,0,0
NCMH-TX1 University of North Carolina Hospitals,,50,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,9,11,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,4,3,0,0,0,0,0,6,0,0,0
NEUN-TX1 The Nebraska Medical Center,,166,3,0,4,0,0,0,0,0,19,0,0,0,0,0,0,12,9,8,0,0,0,0,0,17,2,0,23,0,0,53,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,2,3,1
NJLL-TX1 Virtua Our Lady of Lourdes Hospital,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,1,1,0,6,0,0,1,0,3,0,0,1,1,0,0,7,0,0,2,0,0,0,0,0,0,2,0,0,0
NJUH-TX1 University Hospital,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,3,1,0,7,0,0,0,0,3,0,1,0,1,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,148,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,5,2,1,0,0,0,1,0,2,6,0,0,3,0,24,0,1,3,1,0,0,13,4,2,0,0,0,1,1,0,0,0,0,0,4
"NYFL-TX1 Strong Memorial Hospital, University of Rochester Medical Center",,88,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,1,4,0,0,0,0,1,2,0,2,0,0,2,16,5,11,1,1,2,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,1
