,,All Donation Service Areas,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAOP-OP1 OneLegacy,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,KYDA-OP1 Network for Hope,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NYRT-OP1 LiveOnNY,OHLB-OP1 Lifebanc,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TXGC-OP1 LifeGift Organ Donation Center,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,WALC-OP1 LifeCenter Northwest
GAEM-TX1 Emory University Hospital,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPH-TX1 Piedmont Hospital,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILUC-TX1 University of Chicago Medical Center,,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSUK-TX1 University of Kansas Hospital,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAMG-TX1 Massachusetts General Hospital,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDJH-TX1 Johns Hopkins Hospital,,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNUM-TX1 University of Minnesota Medical Center, Fairview",,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOBH-TX1 Barnes-Jewish Hospital,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCCM-TX1 Carolinas Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NCDU-TX1 Duke University Hospital,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
NEUN-TX1 The Nebraska Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
NYMS-TX1 Mount Sinai Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NYUC-TX1 NYU Langone Health,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OHCC-TX1 The Cleveland Clinic Foundation,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
OHCM-TX1 Children's Hospital Medical Center,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACH-TX1 UPMC Children's Hospital of Pittsburgh,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PAPT-TX1 University of Pittsburgh Medical Center,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
PATJ-TX1 Thomas Jefferson University Hospital,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PAUP-TX1 Hospital of the University of Pennsylvania,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SCMU-TX1 Medical University of South Carolina,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TXMH-TX1 Houston Methodist Hospital,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
TXTC-TX1 Texas Children's Hospital,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TXTX-TX1 Baylor University Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UTMC-TX1 University of Utah Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WAUW-TX1 University of Washington Medical Center,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
