,,To Date,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
VCA-Liver-Intestine-Pancreas,,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-Heart,,"4,237",130,361,373,422,389,350,290,219,203,187,140,141,104,85,78,72,60,60,66,56,40,57,46,29,40,26,29,26,35,20,21,12,19,17,9,5,12,5,3
Pancreas-Heart,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0
Kidney-Pancreas-Heart,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,2,0,1,1,0,0,0,0
Liver-Heart,,769,34,92,73,73,79,51,44,45,39,29,18,28,18,16,22,15,15,11,10,10,6,5,9,1,2,4,1,4,2,6,3,1,0,2,1,0,0,0,0
Liver-Kidney-Heart,,66,3,9,5,7,8,8,3,6,3,0,1,0,0,1,1,2,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Liver-Intestine-Pancreas-Heart,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-Lung,,181,11,16,15,21,22,15,11,13,9,7,4,1,5,7,4,4,1,3,2,2,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Pancreas-Lung,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Lung,,265,12,39,25,22,11,16,22,12,14,8,9,9,6,7,5,6,5,10,3,3,2,2,3,4,1,0,1,1,2,1,2,1,1,0,0,0,0,0,0
Liver-Kidney-Lung,,6,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Pancreas-Lung,,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Kidney,,"14,666",262,864,785,824,789,771,776,728,677,739,730,627,558,494,462,413,388,361,379,445,401,340,280,247,210,135,135,101,98,118,112,83,86,49,57,43,46,30,23
Kidney-Heart-Lung,,17,1,1,2,0,3,0,1,1,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
